Monthly Sales,Advertising Spend,Number of Salespeople,Store Foot Traffic,Online Traffic,Customer Reviews,Product Price,Number of Products,Competitor Price,Seasonality,Promotion
3232,6029.8731213855435,3,1109,94258,1.346129960797552,88.44532038347195,20,309.1912114061088,10,1
3107,8558.594302413952,16,237,19931,1.9486931745548457,451.2340782251436,5,39.670884121599094,1,0
2153,11503.608117863858,8,794,93898,4.358051867278653,168.3181471812507,21,412.0913354860667,10,0
3764,4133.8687445957985,8,951,69219,3.0894821290852446,445.17049425684513,75,328.4434747512503,11,1
1533,8026.35376221846,12,1500,25919,3.052299452686182,258.6635710857481,68,364.53951988682843,1,0
4873,3782.3934918531327,18,1032,81992,3.5993278940938134,257.7613089334091,87,270.77688553578326,3,0
3968,11822.749712542827,7,1845,73531,3.1783635095340306,196.47944101582962,61,59.68616994091364,2,0
1205,14371.008306508409,8,1272,29954,1.129861182605055,267.3940232998154,94,205.4926285819902,5,1
3099,6481.052303922044,19,1108,72712,3.3206068650839087,472.63020304375556,42,205.65992351003524,7,0
2635,9232.473177658838,12,1383,94299,4.084356192679859,446.9668122488053,41,163.91628007139238,1,1
2722,15366.027183435777,18,226,40366,2.504906297088749,340.17162791744295,61,19.82541082785093,7,0
3397,8525.867233043882,10,1934,6985,2.964098963602909,321.3185553233327,82,369.9408500852563,7,1
2201,18024.729362672464,15,677,38292,4.926558721616276,276.43886219874923,52,59.34330674093785,11,0
1037,13139.500448394945,10,1656,76577,1.9786056570487083,139.9781433427381,41,305.12252585731716,3,0
3393,17939.534307287864,19,904,56986,2.4972927865488828,78.39297786307576,60,353.0926607512718,9,1
2663,13921.055819804833,1,1448,11413,1.1826385679559137,428.8699735326055,95,319.2192298521789,7,1
2546,9534.75702614907,10,1076,31441,2.240270559875799,319.353115496164,30,479.77541472909763,7,1
2371,19592.847639993623,12,212,69740,4.326077599488549,153.3235296525257,98,56.132586767143614,6,0
2996,3207.8362826354937,18,750,61857,4.228091343948404,232.80875466373666,95,434.2477437570736,3,1
599,15573.450367615807,10,337,1093,3.5600966211977534,17.141061630963648,38,19.44916625021206,6,0
2508,8824.58264033205,1,1484,80249,2.4724096079261364,281.2422249573854,89,269.7838431889066,1,1
1255,13833.342542804483,17,1090,36235,2.251013183094097,183.77000096663681,17,205.1005908799331,11,0
1297,5746.129237444584,11,1983,37546,4.207344600212529,253.8412226806689,40,264.4710108949103,4,0
1159,6951.1483069730675,5,1679,66940,1.2817887437766378,81.04563099917048,30,185.72443914470486,10,0
3719,19342.908189878613,4,163,6037,3.7342918414623907,215.62628052825056,66,99.33062289533369,10,1
923,12180.836616306238,9,554,26785,2.5229169799704305,453.55506109449544,24,14.465834237101442,8,0
3837,13533.699829318844,15,1389,47031,3.535723825271699,9.213237078030609,73,261.4841578266313,12,1
3245,11130.918824416316,1,1568,66911,4.707516357818499,484.58772937823994,1,422.1745470289969,12,0
1044,5380.127446620268,9,703,82572,4.415760470154553,346.9923940842829,88,189.74189809367311,1,0
1214,8502.516575554353,8,723,77478,2.9907119141426026,54.21111520889714,38,115.31758991741522,11,0
2792,12757.362727235786,14,1543,98796,2.7113375153258894,148.43905858068652,64,44.86334171856282,5,0
651,10022.482792769899,18,439,17881,4.2902378054432475,271.84140564962314,27,47.22890694375816,2,1
3223,9932.511595859538,1,1968,57818,3.952906322922017,363.4531849599347,90,114.59124091492225,4,0
4031,14605.41609334422,12,1398,24757,2.7885753619833453,197.4893780524886,90,54.50696015616982,6,0
3430,6471.82908290233,5,1493,10630,4.875612164397744,117.40656562419491,7,136.19465069041863,8,1
1707,8285.782275664009,1,1966,96597,2.4526450313617856,230.15564040984324,89,37.743983747892585,7,0
1302,15234.226905901769,11,326,97087,2.590133966386536,486.18084122558014,80,37.47440926891319,12,1
2676,17690.591615244797,15,1349,71051,3.954730636853784,417.74002594181377,42,428.85670891327703,12,1
2676,2954.4038151753257,19,1767,69826,2.7963337108051585,457.8213768329581,18,85.24952905087245,3,0
2456,2755.103899757066,5,1008,35330,4.749137455671026,335.30599780201015,81,282.04279088260677,8,0
4122,7726.886579592394,4,1352,63838,2.0289339418855734,223.12971605189833,44,387.8604945022701,4,1
4060,11484.508923531917,8,1950,96254,2.527039228945127,344.12053557004447,70,230.92273484283797,5,1
1256,1638.8767764778086,9,469,26036,3.788566467313419,326.0561626427815,20,80.91759454037613,10,1
4869,19410.2735399452,14,1252,97975,4.588280418412574,19.404507029547347,23,103.8000903494566,8,1
4984,7098.947586096452,6,907,65866,1.4842395184043418,460.16806057196294,12,219.32718210918446,1,1
2141,5203.991018491873,1,1148,29250,1.966182745975853,273.5162163436982,12,266.4758741433752,1,1
3614,3684.014193592037,9,798,98254,1.9130544396014852,495.6151172323259,34,177.97294456402477,2,1
4853,2847.9386142003036,16,392,17080,2.9580373153374375,194.6359313168259,8,391.83240211615737,9,1
4571,19696.802585918784,16,455,59812,4.566090709967025,404.30131603023733,27,376.75571618391723,4,0
4509,5946.477624160689,12,937,57111,2.4324299004604892,233.19838052795046,49,463.96984464969336,6,1
2605,11203.427906139814,5,234,71272,2.5409496741997106,414.27798575236847,72,19.331511768345464,11,0
4442,9510.597265543869,8,103,4466,4.666908077320727,271.8635263184522,55,448.3671891490507,1,0
3691,2891.8126931054103,14,1350,21427,1.4552665615594447,444.19609553400863,97,199.32155028876477,2,1
930,7693.921562810127,11,989,71238,3.52450216628423,440.65289744227346,83,439.7943852130971,11,1
4687,9915.7343058146,15,780,39406,1.5312599950747754,167.51013760315942,88,346.9384641974821,2,0
2946,16981.66246592639,18,544,41621,2.4969783238856844,205.19034672816963,22,493.7376347516143,4,0
3159,18188.307139980756,4,1541,49373,2.297619454526551,274.6004419143046,3,380.8448135997507,8,1
2089,1713.6282927346654,10,1408,72070,3.720462150508381,312.7379853192477,9,185.44958986840936,10,1
3456,10657.993522998926,19,936,48273,4.182138984556588,192.78125872136837,11,253.0262705532023,4,1
3181,4170.102747921494,3,126,40078,3.015734447517742,273.35407952206947,6,191.31263182120387,8,1
4680,15801.969372571677,12,836,3987,2.184969553484571,64.85508376387135,39,185.63135883051285,1,0
